film,year_film,year_ceremony,category,imdb_score_x,num_voted_users_x,budget_x,language_x,country_x,gross_x,genres_x,num_user_for_reviews_x,duration_x,director_name
King Kong,2005,2006,SOUND MIXING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316027,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
Wonder Boys,2000,2001,FILM EDITING,7.4,54643,55000000.0,English,USA,19389454,Comedy|Drama,335,107,Curtis Hanson
Wonder Boys,2000,2001,MUSIC (Original Song),7.4,54643,55000000.0,English,USA,19389454,Comedy|Drama,335,107,Curtis Hanson
Wonder Boys,2000,2001,WRITING (Screenplay Based on Material Previously Produced or Published),7.4,54643,55000000.0,English,USA,19389454,Comedy|Drama,335,107,Curtis Hanson
Traffic,2000,2001,ACTOR IN A SUPPORTING ROLE,7.6,170684,48000000.0,English,USA,124107476,Crime|Drama|Thriller,867,190,Steven Soderbergh
Traffic,2000,2001,BEST PICTURE,7.6,170684,48000000.0,English,USA,124107476,Crime|Drama|Thriller,867,190,Steven Soderbergh
Traffic,2000,2001,DIRECTING,7.6,170684,48000000.0,English,USA,124107476,Crime|Drama|Thriller,867,190,Steven Soderbergh
Traffic,2000,2001,FILM EDITING,7.6,170684,48000000.0,English,USA,124107476,Crime|Drama|Thriller,867,190,Steven Soderbergh
Traffic,2000,2001,WRITING (Screenplay Based on Material Previously Produced or Published),7.6,170684,48000000.0,English,USA,124107476,Crime|Drama|Thriller,867,190,Steven Soderbergh
The Hours,2002,2003,ACTRESS IN A LEADING ROLE,7.6,102123,25000000.0,English,USA,41597830,Drama|Romance,660,114,Stephen Daldry
The Patriot,2000,2001,CINEMATOGRAPHY,7.1,207613,110000000.0,English,USA,113330342,Action|Drama|History|War,1144,142,Roland Emmerich
The Patriot,2000,2001,MUSIC (Original Score),7.1,207613,110000000.0,English,USA,113330342,Action|Drama|History|War,1144,142,Roland Emmerich
The Patriot,2000,2001,SOUND,7.1,207613,110000000.0,English,USA,113330342,Action|Drama|History|War,1144,142,Roland Emmerich
U-571,2000,2001,SOUND,6.6,65297,62000000.0,English,France,77086030,Action|War,602,116,Jonathan Mostow
U-571,2000,2001,SOUND EDITING,6.6,65297,62000000.0,English,France,77086030,Action|War,602,116,Jonathan Mostow
The Bourne Ultimatum,2007,2008,FILM EDITING,8.1,491077,110000000.0,English,USA,227137090,Action|Mystery|Thriller,820,115,Paul Greengrass
The Bourne Ultimatum,2007,2008,SOUND EDITING,8.1,491077,110000000.0,English,USA,227137090,Action|Mystery|Thriller,820,115,Paul Greengrass
The Bourne Ultimatum,2007,2008,SOUND MIXING,8.1,491077,110000000.0,English,USA,227137090,Action|Mystery|Thriller,820,115,Paul Greengrass
Departures,2008,2009,FOREIGN LANGUAGE FILM,8.0,54461,5000.0,Japanese,Japan,74236951,Drama,177,130,Andrew Stanton
Gosford Park,2001,2002,WRITING (Screenplay Written Directly for the Screen),7.3,65201,19800000.0,English,UK,41300105,Drama|Mystery,651,131,Robert Altman
Slumdog Millionaire,2008,2009,BEST PICTURE,8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,CINEMATOGRAPHY,8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,DIRECTING,8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,FILM EDITING,8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,MUSIC (Original Score),8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,MUSIC (Original Song),8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,SOUND MIXING,8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
Slumdog Millionaire,2008,2009,WRITING (Adapted Screenplay),8.0,641997,15000000.0,English,UK,141319195,Drama|Romance,1017,120,Danny Boyle
The Departed,2006,2007,BEST PICTURE,8.5,873649,90000000.0,English,USA,132373442,Crime|Drama|Thriller,2054,151,Martin Scorsese
The Departed,2006,2007,DIRECTING,8.5,873649,90000000.0,English,USA,132373442,Crime|Drama|Thriller,2054,151,Martin Scorsese
The Departed,2006,2007,FILM EDITING,8.5,873649,90000000.0,English,USA,132373442,Crime|Drama|Thriller,2054,151,Martin Scorsese
The Departed,2006,2007,WRITING (Adapted Screenplay),8.5,873649,90000000.0,English,USA,132373442,Crime|Drama|Thriller,2054,151,Martin Scorsese
The Aviator,2004,2005,ACTRESS IN A SUPPORTING ROLE,7.5,264318,110000000.0,English,USA,102608827,Biography|Drama,799,170,Martin Scorsese
The Aviator,2004,2005,ART DIRECTION,7.5,264318,110000000.0,English,USA,102608827,Biography|Drama,799,170,Martin Scorsese
The Aviator,2004,2005,CINEMATOGRAPHY,7.5,264318,110000000.0,English,USA,102608827,Biography|Drama,799,170,Martin Scorsese
The Aviator,2004,2005,COSTUME DESIGN,7.5,264318,110000000.0,English,USA,102608827,Biography|Drama,799,170,Martin Scorsese
The Aviator,2004,2005,FILM EDITING,7.5,264318,110000000.0,English,USA,102608827,Biography|Drama,799,170,Martin Scorsese
Finding Nemo,2003,2004,ANIMATED FEATURE FILM,8.2,692482,94000000.0,English,USA,380838870,Adventure|Animation|Comedy|Family,866,100,Andrew Stanton
You Can Count on Me,2000,2001,ACTRESS IN A LEADING ROLE,7.7,22145,1200000.0,English,USA,9180275,Drama,231,111,Kenneth Lonergan
You Can Count on Me,2000,2001,WRITING (Screenplay Written Directly for the Screen),7.7,22145,1200000.0,English,USA,9180275,Drama,231,111,Kenneth Lonergan
Marie Antoinette,2006,2007,COSTUME DESIGN,6.4,79892,40000000.0,English,USA,15962471,Biography|Drama|History|Romance,619,123,Sofia Coppola
Hollow Man,2000,2001,VISUAL EFFECTS,5.7,101834,95000000.0,English,USA,73209340,Action|Horror|Sci-Fi|Thriller,628,119,Paul Verhoeven
